
# Surface 0 of 1 surfaces

# Curve title: ""3d-gradient-colored_contourtmp0.dat""
# Contour 0, label:      0.4
-0.220334 -0.20691 -0.2 
-0.210379 -0.06898 -0.2 
-0.210377  0.06895 -0.2 
-0.220333  0.20688 -0.2 
-0.24142  0.34481 -0.2 
-0.276223  0.48274 -0.2 
-0.329258  0.62067 -0.2 
-0.34484  0.652384 -0.2 
-0.43424  0.7586 -0.2 
-0.48277  0.805988 -0.2 
-0.6207  0.86529 -0.2 
-0.75863  0.871183 -0.2 
-0.89656  0.83561 -0.2 


# Contour 7, label:     -0.3
-0.89656  0.537758 -0.3 
-0.963546  0.48274 -0.3 
-1.03449  0.405778 -0.3 
-1.07456  0.34481 -0.3 
-1.13323  0.20688 -0.3 
-1.16092  0.06895 -0.3 
-1.16092 -0.06898 -0.3 
-1.13322 -0.20691 -0.3 
-1.07456 -0.34484 -0.3 
-1.03449 -0.405808 -0.3 
-0.963519 -0.48277 -0.3 
-0.89656 -0.537754 -0.3 
-0.75863 -0.592534 -0.3 
-0.6207 -0.58346 -0.3 
-0.48277 -0.492156 -0.3 
-0.476122 -0.48277 -0.3 
-0.402187 -0.34484 -0.3 
-0.357389 -0.20691 -0.3 
-0.34484 -0.126349 -0.3 
-0.338765 -0.06898 -0.3 
-0.338765  0.06895 -0.3 
-0.34484  0.126334 -0.3 
-0.357384  0.20688 -0.3 
-0.402179  0.34481 -0.3 
-0.476092  0.48274 -0.3 
-0.48277  0.49217 -0.3 
-0.6207  0.583472 -0.3 
-0.75863  0.592531 -0.3 
-0.89656  0.537758 -0.3 


# Contour 8, label:     -0.4
-0.75863  0.247435 -0.4 
-0.808634  0.20688 -0.4 
-0.893406  0.06895 -0.4 
-0.893406 -0.06898 -0.4 
-0.808586 -0.20691 -0.4 
-0.75863 -0.247423 -0.4 
-0.6207 -0.228129 -0.4 
-0.604222 -0.20691 -0.4 
-0.550252 -0.06898 -0.4 
-0.550252  0.06895 -0.4 
-0.604208  0.20688 -0.4 
-0.6207  0.228119 -0.4 
-0.75863  0.247435 -0.4 

